0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-03,9.999997338685827700e-04,9.999994990001486173e-01,9.999997495001093917e-01
2.000000000000000042e-03,1.999998014380992718e-03,9.999979990035030575e-01,9.999989995026231648e-01
3.000000000000000062e-03,2.999993382562273370e-03,9.999954990173989255e-01,9.999977495130570881e-01
4.000000000000000083e-03,3.999984260320499363e-03,9.999919990470554909e-01,9.999959995353338016e-01
5.000000000000000104e-03,4.999969072673919775e-03,9.999874990975835543e-01,9.999937495732925674e-01
6.000000000000000125e-03,5.999946321698955594e-03,9.999819991843926781e-01,9.999909996384850341e-01
7.000000000000000146e-03,6.999914571000893579e-03,9.999754993311169571e-01,9.999877497486192590e-01
8.000000000000000167e-03,7.999872320819794227e-03,9.999679995529203724e-01,9.999839999150627046e-01
9.000000000000001055e-03,8.999818071275728082e-03,9.999594998651377686e-01,9.999797501493101759e-01
1.000000000000000194e-02,9.999750322791847029e-03,9.999500002990905356e-01,9.999750004748557686e-01
1.100000000000000283e-02,1.099966757583589923e-02,9.999395008884522928e-01,9.999697509169584997e-01
1.200000000000000372e-02,1.199956833074171912e-02,9.999280016598331988e-01,9.999640014955760714e-01
1.300000000000000461e-02,1.299944009503344912e-02,9.999155029201658440e-01,9.999577524409111184e-01
1.400000000000000550e-02,1.399931030086667624e-02,9.999020039806763016e-01,9.999510032363759793e-01
1.500000000000000638e-02,1.499915571720268279e-02,9.998875054363183246e-01,9.999437543281923801e-01
1.600000000000000727e-02,1.599897634404146701e-02,9.998720072870920239e-01,9.999360057163605431e-01
1.700000000000000816e-02,1.699877174222732754e-02,9.998555095510865964e-01,9.999277574143500269e-01
1.800000000000000905e-02,1.799853893189697421e-02,9.998380123510437478e-01,9.999190095135610523e-01
1.900000000000000994e-02,1.899827735410900345e-02,9.998195157099870611e-01,9.999097620311375723e-01
2.000000000000001082e-02,1.999798700886340486e-02,9.998000196279162033e-01,9.999000149670796977e-01
2.100000000000001171e-02,2.099766789616018189e-02,9.997795241048315074e-01,9.998897683213872067e-01
2.200000000000001260e-02,2.199731991414279400e-02,9.997580291451841905e-01,9.998790220973992060e-01
2.300000000000001349e-02,2.299693801651866640e-02,9.997355349695251636e-01,9.998677764605357066e-01
2.400000000000001438e-02,2.399651939729501721e-02,9.997120417004912163e-01,9.998560315027786860e-01
2.500000000000001527e-02,2.499606405647184296e-02,9.996875493380824595e-01,9.998437872241280333e-01
2.600000000000001615e-02,2.599557199404914018e-02,9.996620578822990044e-01,9.998310436245836375e-01
2.700000000000001704e-02,2.699504321002691928e-02,9.996355673331408509e-01,9.998178007041458315e-01
2.800000000000001793e-02,2.799449696049682509e-02,9.996080766440582632e-01,9.998040576778500776e-01
2.900000000000001882e-02,2.899387220402769097e-02,9.995795891325927052e-01,9.997898170340178137e-01
3.000000000000001971e-02,2.999320795639209489e-02,9.995501026782753762e-01,9.997750771821921623e-01
3.100000000000002059e-02,3.099250272067307493e-02,9.995196173624625313e-01,9.997598381833936454e-01
3.200000000000002148e-02,3.199175499995366573e-02,9.994881332665098705e-01,9.997441000986437842e-01
3.300000000000002237e-02,3.299096302226918465e-02,9.994556506215950265e-01,9.997278631017831874e-01
3.400000000000002326e-02,3.399012385275113068e-02,9.994221702923421491e-01,9.997111278436588977e-01
