shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.36160659790039,2.783520221710205,0.0,2.6314806938171387,3.252784490585327,48.88331985473633,23.36160659790039,0.21991126239299774,-5.638726711273193,0.48883315920829773,0.997539222240448,14.549896240234375,4.8333845138549805,1.0,0.7834149599075317,0.4888331890106201,7.564756393432617,1.838782548904419,0.0,1.7041761875152588,2.335892677307129,25.465232849121094,7.564756393432617,0.0894927978515625,-9.211411476135254,0.2546522915363312,1.3836997747421265,4.587413787841797,2.750410318374634,1.0,0.41426292061805725,0.25465232133865356
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.4040470123291,2.7758355140686035,0.0,2.624312162399292,3.2450084686279297,48.62430953979492,23.4040470123291,0.2198159545660019,-5.635451793670654,0.4862431585788727,0.9951545000076294,14.579389572143555,4.837772846221924,0.9285714030265808,0.7800483703613281,0.4864231050014496,7.669022560119629,1.8538527488708496,0.0,1.7191550731658936,2.3500852584838867,25.583053588867188,7.669022560119629,0.09099176526069641,-9.203357696533203,0.2558305263519287,1.3921070098876953,4.61466121673584,2.7692999839782715,1.0,0.41672348976135254,0.2558305263519287
"[1, 4, 8, 16, 32, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.38860511779785,2.7910656929016113,0.0,2.638777017593384,3.2603847980499268,49.077842712402344,23.38860511779785,0.2206088751554489,-5.636641502380371,0.4907784163951874,0.9998700022697449,14.546896934509277,4.836176872253418,1.0,0.7873325347900391,0.4907784163951874,7.559122562408447,1.8382818698883057,0.0,1.7035748958587646,2.3355867862701416,25.470008850097656,7.559122562408447,0.08941687643527985,-9.211845397949219,0.25470009446144104,1.3835185766220093,4.586034774780273,2.7493858337402344,1.0,0.4141383767127991,0.25470009446144104
"[1, 4, 8, 16, 32, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.40323257446289,2.7914557456970215,0.0,2.639202117919922,3.260781764984131,49.07659149169922,23.40323257446289,0.22076095640659332,-5.635513782501221,0.49076583981513977,0.9999918341636658,14.551769256591797,4.83768892288208,1.0,0.7876589894294739,0.49076586961746216,7.575604438781738,1.8407388925552368,0.0,1.7059955596923828,2.3379507064819336,25.491296768188477,7.575604438781738,0.0896541178226471,-9.210575103759766,0.25491297245025635,1.3849189281463623,4.590393543243408,2.7523815631866455,1.0,0.41453200578689575,0.25491297245025635
"[1, 32, 16, 8, 4, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.399049758911133,2.777050495147705,0.0,2.625450849533081,3.2462425231933594,48.663875579833984,23.399049758911133,0.21984587609767914,-5.635838031768799,0.48663875460624695,0.9955329895019531,14.575387001037598,4.83725643157959,0.9285714030265808,0.7805991768836975,0.48678058385849,7.647032737731934,1.8507198095321655,0.0,1.7160295248031616,2.347168445587158,25.559799194335938,7.647032737731934,0.09067541360855103,-9.205059051513672,0.2555980086326599,1.3903791904449463,4.608957767486572,2.765326976776123,1.0,0.4162084460258484,0.2555979788303375
"[1, 32, 16, 8, 4, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.46023178100586,2.660041093826294,0.0,2.515167236328125,3.1244513988494873,45.16776657104492,23.46023178100586,0.21340204775333405,-5.631007671356201,0.45167773962020874,0.9581829905509949,14.790367126464844,4.843576431274414,0.9285714030265808,0.7218754887580872,0.45430293679237366,8.460905075073242,1.9643568992614746,0.0,1.8290945291519165,2.4474058151245117,26.31885528564453,8.460905075073242,0.10266566276550293,-9.141098022460938,0.26318854093551636,1.449756145477295,4.80930233001709,2.9087634086608887,1.0,0.43430039286613464,0.26318854093551636
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,29.805402755737305,2.342660903930664,0.0,2.2672855854034424,2.7559149265289307,27.429990768432617,29.805402755737305,0.28421106934547424,-4.960709571838379,0.2742999196052551,0.8451630473136902,17.10866928100586,5.459432601928711,0.8571428656578064,0.8133413195610046,0.27703341841697693,22.104930877685547,3.7193806171417236,0.0,3.544363021850586,4.2193803787231445,46.820945739746094,22.104930877685547,0.384723961353302,-7.7783660888671875,0.46820947527885437,2.49941086769104,7.001648902893066,4.701588153839111,1.0,0.632278561592102,0.468209445476532
"[1, 28, 26, 1]","ListWrapper(['sigmoid', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,23.03305435180664,2.7758948802948,0.0,2.6230156421661377,3.2447307109832764,48.9384765625,23.03305435180664,0.2165948897600174,-5.663845062255859,0.48938480019569397,0.9950693845748901,14.43800163269043,4.799276351928711,0.9285714030265808,0.7764812111854553,0.4898114800453186,7.210726737976074,1.7853351831436157,0.0,1.6516072750091553,2.284142255783081,24.998310089111328,7.210726737976074,0.08444918692111969,-9.238510131835938,0.24998310208320618,1.3530446290969849,4.492101669311523,2.685279607772827,1.0,0.4056558310985565,0.24998310208320618
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,24.914777755737305,3.1540818214416504,0.0,2.993269205093384,3.619119167327881,58.23773956298828,24.914777755737305,0.25618618726730347,-5.524991035461426,0.5823774337768555,1.1098839044570923,14.414859771728516,4.9914703369140625,0.9285714030265808,0.9724635481834412,0.5851534605026245,6.631830215454102,1.7157325744628906,0.0,1.5777415037155151,2.215643882751465,24.817909240722656,6.631830215454102,0.0769033133983612,-9.28199577331543,0.24817907810211182,1.3124686479568481,4.318576335906982,2.5752339363098145,1.0,0.3899857699871063,0.2481791079044342
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,25.066253662109375,2.2256510257720947,0.0,2.1282715797424316,2.667470932006836,30.315401077270508,25.066253662109375,0.20753562450408936,-5.487231731414795,0.30315399169921875,0.8180397152900696,15.839822769165039,5.00662088394165,0.9285714030265808,0.7530207633972168,0.30648937821388245,13.65976619720459,2.672663927078247,0.0,2.5292515754699707,3.120974063873291,33.23291015625,13.65976619720459,0.19265303015708923,-8.687004089355469,0.3323290944099426,1.8487540483474731,5.799256324768066,3.6959121227264404,1.0,0.5236974358558655,0.3323290944099426
