shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation,train_time,predict_loss,predict_huber_loss,predict_kl_divergence,predict_log_cosh,predict_mean_absolute_error,predict_mean_absolute_percentage_error,predict_mean_squared_error,predict_mean_squared_logarithmic_error,predict_poisson,predict_relative,predict_rae,predict_my_mae,predict_root_mean_squared_error,predict_inlier_ratio,predict_max_deviation,predict_mean_deviation,evaluate_time
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.11696170270442963,0.05848085135221481,0.4185452461242676,0.057375188916921616,0.3419966399669647,34.19966125488281,0.11696170270442963,0.035168662667274475,1.0765483379364014,0.3419966399669647,5.4719462394714355,0.3421285152435303,0.3419966399669647,1.0,0.3421285152435303,0.3419966399669647,0.11179257929325104,0.05589628964662552,0.4069972634315491,0.05488485097885132,0.3343539535999298,33.435394287109375,0.11179257929325104,0.03346489369869232,1.0726430416107178,0.3343539535999298,1.3374158143997192,0.33447831869125366,0.3343539834022522,1.0,0.33447831869125366,0.3343539535999298,7.724965810775757,0.11177503317594528,0.05588722229003906,0.4069565534591675,0.05487610772252083,0.33432677388191223,33.43268585205078,0.11177444458007812,0.03345893695950508,1.0726295709609985,0.33432677388191223,10.447739601135254,0.33446767926216125,0.33432772755622864,1.0,0.33446767926216125,0.33432677388191223,0.09794068336486816
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.0008749268599785864,0.0004374634299892932,0.030025456100702286,0.0004374086856842041,0.02957916259765625,2.957916259765625,0.0008749268599785864,0.00022201129468157887,1.0004462003707886,0.02957916259765625,0.4732666015625,0.029584050178527832,0.02957916259765625,0.0,0.0,0.05000000074505806,0.0007577687501907349,0.00037888437509536743,0.02791357785463333,0.00037883222103118896,0.027527600526809692,2.7527599334716797,0.0007577687501907349,0.00019208271987736225,1.0003858804702759,0.027527600526809692,0.11011040210723877,0.02753126621246338,0.027527600526809692,0.0,0.0,0.05000000074505806,4.721297740936279,0.0007578220102004707,0.00037891187821514904,0.027914611622691154,0.00037886592326685786,0.02752860076725483,2.7528600692749023,0.0007578237564302981,0.00019209699530620128,1.0003856420516968,0.02752860076725483,0.8602678179740906,0.027533631771802902,0.027528567239642143,0.0,0.0,0.049999985843896866,0.08785772323608398
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,0.08841370046138763,0.04420685023069382,0.3433711528778076,0.04340318217873573,0.2859672009944916,28.596717834472656,0.08841370046138763,0.026415251195430756,1.057403802871704,0.2859672009944916,4.575475215911865,0.41136234998703003,0.2973444163799286,1.0,0.41136234998703003,0.2859672009944916,0.09774228930473328,0.04887114465236664,0.36607933044433594,0.04788807034492493,0.3015158772468567,30.151588439941406,0.09774228930473328,0.029502354562282562,1.064563274383545,0.3015158772468567,1.2060635089874268,0.4198722243309021,0.3126376271247864,1.0,0.4198722243309021,0.3015158772468567,4.688386678695679,0.08334227651357651,0.041472211480140686,0.32925379276275635,0.040744006633758545,0.2757120132446289,27.571199417114258,0.08294442296028137,0.024689219892024994,1.0535415410995483,0.2757120132446289,8.642294883728027,0.40976712107658386,0.28869062662124634,1.0,0.40976712107658386,0.2757120132446289,0.08894610404968262
"[1, 38, 58, 1]","ListWrapper(['linear', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,3.46830375974605e-07,1.734151879873025e-07,0.00025413717958144844,1.7881393432617188e-07,0.0005078762769699097,0.05078762769699097,3.46830375974605e-07,8.670219386885947e-08,1.0,0.0005078762769699097,0.008126020431518555,0.000944972038269043,0.000588923052418977,0.0,0.0,0.05000000074505806,3.7701173027926416e-07,1.8850586513963208e-07,0.0003506265056785196,2.086162567138672e-07,0.0005399882793426514,0.05399882793426514,3.7701173027926416e-07,9.427967029296269e-08,1.0,0.0005399882793426514,0.0021599531173706055,0.001009523868560791,0.0006140128243714571,0.0,0.0,0.05000000074505806,6.8055198192596436,3.5303034451317217e-07,1.7836069332588522e-07,0.0002470533945597708,1.8009450286626816e-07,0.0005180115113034844,0.051801152527332306,3.5672138665177044e-07,8.91781866130259e-08,1.0,0.0005180115113034844,0.016077304258942604,0.0010056402534246445,0.0005941635463386774,0.0,0.0,0.049999985843896866,0.0974569320678711
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.002760310424491763,0.0013801552122458816,0.05239513888955116,0.0013793781399726868,0.05096016451716423,5.096016883850098,0.002760310424491763,0.0007102708332240582,1.0014349222183228,0.05096016451716423,0.8153626322746277,0.07063454389572144,0.05253865569829941,0.5625,0.07063454389572144,0.05602554976940155,0.0038559564854949713,0.0019279782427474856,0.0628722533583641,0.0019265562295913696,0.06085510551929474,6.08551025390625,0.0038559564854949713,0.0009967313380911946,1.0020170211791992,0.06085510551929474,0.24342042207717896,0.07854652404785156,0.06209634989500046,0.75,0.07854652404785156,0.06176001951098442,5.071803331375122,0.0034164157696068287,0.0017017778009176254,0.058773986995220184,0.001700641238130629,0.05699806660413742,5.699807167053223,0.003403555601835251,0.0008781510987319052,1.0017756223678589,0.05699806660413742,1.7851200103759766,0.07703603059053421,0.058450113981962204,0.6591796875,0.07703603059053421,0.05945277586579323,0.08850312232971191
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.00032627928885631263,0.00016313964442815632,0.018228325992822647,0.00016311556100845337,0.018063202500343323,1.8063201904296875,0.00032627928885631263,8.231244282796979e-05,1.0001649856567383,0.018063202500343323,0.28901124000549316,0.018067777156829834,0.018063202500343323,0.0,0.0,0.05000000074505806,4.468552288017236e-05,2.234276144008618e-05,0.006707178428769112,2.2336840629577637e-05,0.006684720516204834,0.6684720516204834,4.468552288017236e-05,1.1208866453671362e-05,1.0000224113464355,0.006684720516204834,0.026738882064819336,0.006691873073577881,0.006684723310172558,0.0,0.0,0.05000000074505806,5.728821754455566,4.4710581278195605e-05,2.235572537756525e-05,0.006709115579724312,2.235587453469634e-05,0.006686658598482609,0.6686659455299377,4.47114507551305e-05,1.1215361155336723e-05,1.0000227689743042,0.006686658598482609,0.2089560478925705,0.006697248667478561,0.006686597131192684,0.0,0.0,0.049999985843896866,0.10793280601501465
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,Adam,0.2,50,0.01,True,0.15182100236415863,0.07591050118207932,0.4782363176345825,0.07334913313388824,0.36549457907676697,36.54945755004883,0.15182100236415863,0.048962876200675964,1.1127415895462036,0.36549457907676697,5.8479132652282715,0.573350191116333,0.3896421492099762,1.0,0.573350191116333,0.36549457907676697,0.17348712682724,0.08674356341362,0.5274571180343628,0.08340689539909363,0.39312392473220825,39.3123893737793,0.17348712682724,0.05713053047657013,1.1343330144882202,0.39312392473220825,1.572495698928833,0.5902140736579895,0.41651785373687744,1.0,0.5902140736579895,0.39312392473220825,4.803029298782349,0.1426154226064682,0.07090877741575241,0.45479264855384827,0.06857308745384216,0.3501546084880829,35.01545715332031,0.14181755483150482,0.045556966215372086,1.1046379804611206,0.3501546084880829,10.98611831665039,0.5733866691589355,0.3776445686817169,1.0,0.5733866691589355,0.3501546084880829,0.09829878807067871
"[1, 49, 50, 29, 7, 1]","ListWrapper(['linear', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,1.3747865068580722e-06,6.873932534290361e-07,0.0011732398997992277,6.556510925292969e-07,0.0011725127696990967,0.11725127696990967,1.3747865068580722e-06,3.439063220866956e-07,1.0000005960464478,0.0011725127696990967,0.018760204315185547,0.0011736154556274414,0.0011725128861144185,0.0,0.0,0.05000000074505806,4.8032659833552316e-05,2.4016329916776158e-05,0.0,2.4020671844482422e-05,0.006930559873580933,0.6930559873580933,4.8032659833552316e-05,1.196668472402962e-05,1.0000238418579102,0.006930559873580933,0.02772223949432373,0.006930947303771973,0.006930559873580933,0.0,0.0,0.05000000074505806,4.784426689147949,4.803220144822262e-05,2.4016062525333837e-05,0.0,2.4030276108533144e-05,0.006930520758032799,0.6930521130561829,4.803212505066767e-05,1.1966492820647545e-05,1.000023365020752,0.006930520758032799,0.21657894551753998,0.006931070238351822,0.006930526811629534,0.0,0.0,0.049999985843896866,0.09161567687988281
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,RMSprop,0.2,50,0.01,True,0.0056600989773869514,0.0028300494886934757,0.0,0.002826448529958725,0.07158395648002625,7.158395767211914,0.0056600989773869514,0.0013570627197623253,1.0026791095733643,0.07158395648002625,1.14534330368042,0.10873115062713623,0.07523363083600998,0.75,0.10873115062713623,0.07357950508594513,0.00804129894822836,0.00402064947411418,0.09272821992635727,0.004014715552330017,0.08843773603439331,8.843772888183594,0.00804129894822836,0.0021085082553327084,1.0042903423309326,0.08843773603439331,0.35375094413757324,0.10968208312988281,0.08967328816652298,1.0,0.10968208312988281,0.08843773603439331,5.303095102310181,0.007269827648997307,0.0036233216524124146,0.08766020834445953,0.0036184259224683046,0.08380606025457382,8.380606651306152,0.007246643304824829,0.0018957755528390408,1.0038539171218872,0.08380606025457382,2.623659133911133,0.10786820948123932,0.08526328206062317,1.0,0.10786820948123932,0.08380606025457382,0.08988237380981445
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,RMSprop,0.2,50,0.01,True,6.953611659810122e-07,3.476805829905061e-07,0.0003621279902290553,3.3155083656311035e-07,0.0007194057106971741,0.07194057106971741,6.953611659810122e-07,1.7383985095875687e-07,1.000000238418579,0.0007194057106971741,0.011510491371154785,0.0013234615325927734,0.0008338831830769777,0.0,0.0,0.05000000074505806,7.595626811962575e-07,3.7978134059812874e-07,0.0004957941710017622,3.8743019104003906e-07,0.0007664263248443604,0.07664263248443604,7.595626811962575e-07,1.899730648347031e-07,1.000000238418579,0.0007664263248443604,0.0030657052993774414,0.0014348030090332031,0.0008715289295651019,0.0,0.0,0.05000000074505806,5.01042628288269,7.028169761724712e-07,3.5504874063008174e-07,0.00034723628778010607,3.5588163882493973e-07,0.0007310096407309175,0.07310096174478531,7.100974812601635e-07,1.7751816017153033e-07,1.0000001192092896,0.0007310096407309175,0.022689513862133026,0.001413583755493164,0.0008383417734876275,0.0,0.0,0.049999985843896866,0.09011101722717285
