shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,20.343372344970703,2.5001909732818604,0.0,2.3506698608398438,2.9873268604278564,46.041954040527344,20.343372344970703,0.1942445933818817,-5.547840595245361,0.46041959524154663,0.995685875415802,14.622474670410156,4.51036262512207,1.0,0.7663886547088623,0.46041959524154663,18.502094268798828,2.7467405796051025,0.0,2.6095991134643555,3.1769046783447266,32.051841735839844,18.502094268798828,0.17668123543262482,-9.500638008117676,0.320518434047699,0.9995026588439941,7.969006538391113,4.301405906677246,0.75,0.5538946390151978,0.3227740526199341
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,20.35628890991211,2.504030227661133,0.0,2.3543553352355957,2.9910809993743896,46.144248962402344,20.35628890991211,0.194602832198143,-5.54683256149292,0.4614424705505371,0.996937096118927,14.620283126831055,4.511794567108154,1.0,0.7686570882797241,0.4614425003528595,18.508705139160156,2.7479348182678223,0.0,2.610743522644043,3.1784143447875977,32.07974624633789,18.508705139160156,0.1767919510602951,-9.500123023986816,0.32079747319221497,0.9999776482582092,7.969831943511963,4.3021745681762695,0.75,0.5539519786834717,0.3229844868183136
"[1, 4, 8, 16, 32, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,20.35587501525879,2.5135631561279297,0.0,2.3633711338043213,3.000068426132202,46.435176849365234,20.35587501525879,0.19523967802524567,-5.5468645095825195,0.4643518030643463,0.9999325275421143,14.599328994750977,4.511748790740967,1.0,0.7744393348693848,0.4643518030643463,18.430023193359375,2.7445433139801025,0.0,2.607133626937866,3.178414821624756,32.171844482421875,18.430023193359375,0.17590177059173584,-9.506244659423828,0.32171839475631714,0.9999777674674988,7.951412200927734,4.293020248413086,0.75,0.5526717305183411,0.3231582045555115
"[1, 4, 8, 16, 32, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,20.356718063354492,2.513756275177002,0.0,2.363557815551758,3.000258684158325,46.44009780883789,20.356718063354492,0.19525930285453796,-5.546799182891846,0.464400976896286,0.9999960660934448,14.599306106567383,4.511841773986816,1.0,0.7745521068572998,0.464400976896286,18.430477142333984,2.744605779647827,0.0,2.607194185256958,3.178485870361328,32.17298889160156,18.430477142333984,0.17590852081775665,-9.506208419799805,0.32172995805740356,1.0000001192092896,7.951483726501465,4.2930731773376465,0.75,0.5526766777038574,0.3231678009033203
"[1, 32, 16, 8, 4, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,20.37129783630371,2.462172746658325,0.0,2.3149566650390625,2.9509048461914062,44.840431213378906,20.37129783630371,0.19195033609867096,-5.545651912689209,0.44840431213378906,0.983546257019043,14.715084075927734,4.513457298278809,1.0,0.7427852153778076,0.44840431213378906,18.845975875854492,2.7631659507751465,0.0,2.6269447803497314,3.178567409515381,31.697250366210938,18.845975875854492,0.18068717420101166,-9.473684310913086,0.3169724941253662,1.000025749206543,8.046995162963867,4.341195106506348,0.75,0.5593153238296509,0.3222792148590088
"[1, 32, 16, 8, 4, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,20.420211791992188,2.403348445892334,0.0,2.2601704597473145,2.8922183513641357,42.94234085083008,20.420211791992188,0.18857543170452118,-5.541733264923096,0.42942339181900024,0.9639858603477478,14.851367950439453,4.5188727378845215,1.0,0.7060298919677734,0.42942339181900024,19.469280242919922,2.793424606323242,0.0,2.659334182739258,3.178480625152588,31.014944076538086,19.469280242919922,0.1881895512342453,-9.423989295959473,0.31014949083328247,0.9999985098838806,8.183111190795898,4.412400722503662,0.75,0.5687761902809143,0.32098355889320374
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,26.874250411987305,2.3233330249786377,0.0,2.234891653060913,2.763226270675659,29.982070922851562,26.874250411987305,0.275180846452713,-4.850693225860596,0.2998206913471222,0.920992374420166,17.216386795043945,5.184038162231445,0.9285714030265808,0.8184621930122375,0.30158036947250366,34.70619583129883,3.99064302444458,0.0,3.8509342670440674,4.396712303161621,40.649173736572266,34.70619583129883,0.4702816605567932,-7.870194435119629,0.406491756439209,1.3832727670669556,10.466318130493164,5.891196250915527,0.75,0.7274730205535889,0.41176316142082214
"[1, 15, 60, 6, 33, 51, 1]","ListWrapper(['sigmoid', 'sigmoid', 'linear', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,20.35671615600586,2.5137691497802734,0.0,2.363569974899292,3.0002708435058594,46.44049835205078,20.35671615600586,0.195260152220726,-5.5467987060546875,0.46440497040748596,1.0000001192092896,14.599276542663574,4.511841773986816,1.0,0.7745600342750549,0.46440500020980835,18.430374145507812,2.744601249694824,0.0,2.607189416885376,3.178485870361328,32.17310333251953,18.430374145507812,0.1759074628353119,-9.506216049194336,0.3217310309410095,1.0000001192092896,7.951459884643555,4.293061256408691,0.75,0.5526750087738037,0.32316797971725464
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,21.372350692749023,2.77751088142395,0.0,2.6190497875213623,3.251331329345703,53.315330505371094,21.372350692749023,0.22113004326820374,-5.471627712249756,0.5331532955169678,1.083679437637329,14.441088676452637,4.623023986816406,0.9285714030265808,0.9265271425247192,0.5352256894111633,17.329898834228516,2.747917652130127,0.0,2.603612184524536,3.2363333702087402,35.03227996826172,17.329898834228516,0.16605138778686523,-9.590209007263184,0.3503228425979614,1.0181998014450073,7.62502384185791,4.162919521331787,1.0,0.5299857258796692,0.35032281279563904
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,22.28360366821289,2.0744833946228027,0.0,1.9778811931610107,2.5142884254455566,29.168054580688477,22.28360366821289,0.19085003435611725,-5.371356010437012,0.29168057441711426,0.8380205631256104,15.986515045166016,4.720551013946533,0.8571428656578064,0.7599944472312927,0.2940560281276703,25.673276901245117,3.2216873168945312,0.0,3.105403184890747,3.6940345764160156,34.024993896484375,25.673276901245117,0.2817462980747223,-8.871874809265137,0.3402499556541443,1.16219961643219,9.255098342895508,5.066880226135254,1.0,0.643285870552063,0.3402499556541443
