shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,18.982141494750977,2.4217755794525146,0.0,2.2730395793914795,2.8853187561035156,48.10923385620117,18.982141494750977,0.20455987751483917,-4.844735622406006,0.4810923635959625,0.9898122549057007,14.113149642944336,4.3568501472473145,0.9285714030265808,0.8680336475372314,0.48373740911483765,18.46179962158203,3.066359758377075,0.0,2.908235549926758,3.566237449645996,64.40406036376953,18.46179962158203,0.28061139583587646,-5.928359031677246,0.6440406441688538,0.9994699954986572,7.484579086303711,4.296719551086426,1.0,0.9620017409324646,0.6440406441688538
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,18.98626708984375,2.4405195713043213,0.0,2.290470600128174,2.902606964111328,48.70989990234375,18.98626708984375,0.20592617988586426,-4.844390869140625,0.48709896206855774,0.9957430958747864,14.076784133911133,4.357323169708252,0.9285714030265808,0.8805628418922424,0.4901871085166931,18.43804168701172,3.068632125854492,0.0,2.911940574645996,3.5681827068328857,64.77020263671875,18.43804168701172,0.2813839316368103,-5.930332183837891,0.6477019786834717,1.000015139579773,7.456723690032959,4.293953895568848,1.0,0.9725742936134338,0.6477019786834717
"[1, 4, 8, 16, 32, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,18.98651695251465,2.4527337551116943,0.0,2.3018412590026855,2.9137134552001953,49.10211944580078,18.98651695251465,0.20679941773414612,-4.8443708419799805,0.49102121591567993,0.9995530843734741,14.051417350769043,4.357352256774902,0.9285714030265808,0.8886446356773376,0.4944101870059967,18.411287307739258,3.0692648887634277,0.0,2.9136452674865723,3.5684072971343994,65.02262878417969,18.411287307739258,0.2818107604980469,-5.9325480461120605,0.650226354598999,1.0000780820846558,7.4339518547058105,4.29083776473999,1.0,0.9801955819129944,0.650226354598999
"[1, 4, 8, 16, 32, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,18.98518180847168,2.454171657562256,0.0,2.3031718730926514,2.9149932861328125,49.14963912963867,18.98518180847168,0.20689000189304352,-4.844480037689209,0.49149641394615173,0.9999920725822449,14.047760009765625,4.357198715209961,0.9285714030265808,0.8895880579948425,0.49492597579956055,18.406038284301758,3.0690441131591797,0.0,2.91355037689209,3.5681285858154297,65.04391479492188,18.406038284301758,0.2818146347999573,-5.932982444763184,0.6504391431808472,1.0,7.431082725524902,4.290225982666016,1.0,0.9809262752532959,0.6504391431808472
"[1, 32, 16, 8, 4, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,19.003192901611328,2.390286684036255,0.0,2.2441067695617676,2.8560383319854736,47.059810638427734,19.003192901611328,0.20255576074123383,-4.842970371246338,0.4705980718135834,0.9797675609588623,14.184882164001465,4.359265327453613,0.9285714030265808,0.8466466069221497,0.4724108874797821,18.55524444580078,3.067913293838501,0.0,2.9065301418304443,3.567913293838501,63.81380844116211,18.55524444580078,0.28002116084098816,-5.920535564422607,0.6381380558013916,0.9999396800994873,7.544853210449219,4.30757999420166,1.0,0.943527340888977,0.6381380558013916
"[1, 32, 16, 8, 4, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,19.074459075927734,2.319495677947998,0.0,2.1795949935913086,2.786893129348755,44.605857849121094,19.074459075927734,0.19840092957019806,-4.83685302734375,0.44605860114097595,0.9560471773147583,14.34661865234375,4.367431640625,1.0,0.7962679862976074,0.4460585415363312,18.816295623779297,3.0681092739105225,0.0,2.899378538131714,3.5681092739105225,62.0743408203125,18.816295623779297,0.2784390449523926,-5.89824104309082,0.620743453502655,0.9999945759773254,7.707334518432617,4.337775230407715,1.0,0.8904932737350464,0.620743453502655
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,24.53263282775879,2.2191216945648193,0.0,2.1319804191589355,2.6433732509613037,30.67900276184082,24.53263282775879,0.27542540431022644,-4.218820095062256,0.3067900538444519,0.9068125486373901,16.441808700561523,4.953042984008789,0.9285714030265808,0.8180004358291626,0.3095345199108124,27.126012802124023,3.4423928260803223,0.0,3.274685859680176,3.9423928260803223,53.15943145751953,27.126012802124023,0.4175092577934265,-4.9762349128723145,0.5315942764282227,1.1048909425735474,9.732218742370605,5.208263874053955,1.0,0.7217962145805359,0.5315943360328674
"[1, 43, 44, 28, 25, 1]","ListWrapper(['linear', 'linear', 'linear', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,18.984298706054688,2.45340895652771,0.0,2.3024556636810303,2.9142909049987793,49.12614059448242,18.984298706054688,0.2068273276090622,-4.8445539474487305,0.49126142263412476,0.999751091003418,14.0489501953125,4.357097625732422,0.9285714030265808,0.8890836834907532,0.49467530846595764,18.40593719482422,3.068816661834717,0.0,2.9132752418518066,3.5679240226745605,65.02622985839844,18.40593719482422,0.28176289796829224,-5.932990074157715,0.6502623558044434,0.9999426603317261,7.432074069976807,4.2902140617370605,1.0,0.980448842048645,0.6502623558044434
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,19.563735961914062,2.7317516803741455,0.0,2.567256450653076,3.2204043865203857,58.250389099121094,19.563735961914062,0.23241902887821198,-4.799692630767822,0.5825038552284241,1.1047638654708862,13.654195785522461,4.423091411590576,1.0,1.0638155937194824,0.5825038552284241,18.407073974609375,3.158045768737793,0.0,3.0130467414855957,3.6141490936279297,71.86042785644531,18.407073974609375,0.30282676219940186,-5.934412002563477,0.7186042070388794,1.0128976106643677,6.94379186630249,4.290346622467041,1.0,1.1748474836349487,0.7186042070388794
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,19.96736717224121,2.0881712436676025,0.0,1.977378010749817,2.5405285358428955,35.042449951171875,19.96736717224121,0.19368083775043488,-4.753228187561035,0.35042449831962585,0.8715314865112305,15.037059783935547,4.4684858322143555,0.9285714030265808,0.7481124401092529,0.3515114188194275,20.368555068969727,3.0695695877075195,0.0,2.891014814376831,3.5695695877075195,55.214969635009766,20.368555068969727,0.28415101766586304,-5.7550048828125,0.5521497130393982,1.000403881072998,8.35030746459961,4.513153553009033,1.0,0.6811527609825134,0.552149772644043
