shape,activations,loss_func,normalize,optimizer,validation_split,epochs,eps,experiments,loss,huber_loss,kl_divergence,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,poisson,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_kl_divergence,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_poisson,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.4287143349647522,0.21363946795463562,0.6457158327102661,0.19270439445972443,0.5664710998535156,10873688.0,0.4287143349647522,0.108878493309021,0.6226385831832886,1.0002732276916504,1.0091438293457031,1.1515467166900635,0.6547628045082092,1.0,3.316134452819824,0.9595203399658203,0.458910197019577,0.227188378572464,0.3036724328994751,0.20119641721248627,0.5969132781028748,100.60325622558594,0.458910197019577,0.04989376664161682,0.07499200105667114,1.0060324668884277,1.0000200271606445,1.1346616744995117,0.6774290800094604,1.0,1.5009486675262451,1.0060324668884277
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.4219413995742798,0.20934686064720154,0.4889599680900574,0.18834924697875977,0.5613383054733276,15644564.0,0.4219413995742798,0.09320313483476639,0.6056642532348633,1.0756149291992188,0.9999998807907104,1.227841854095459,0.6495701670646667,1.0,4.330784797668457,1.0444037914276123,0.4995834231376648,0.24429680407047272,0.20784887671470642,0.21447911858558655,0.5969014167785645,100.85784912109375,0.4995834231376648,0.0471225380897522,0.17057278752326965,1.0085785388946533,1.000000238418579,1.2096647024154663,0.7068121433258057,1.0,1.7148011922836304,1.0085784196853638
"[1, 4, 8, 16, 32, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.42794716358184814,0.21320971846580505,0.6340032815933228,0.1923084855079651,0.5658760070800781,11175667.0,0.42794716358184814,0.10762473940849304,0.6204639673233032,1.003706455230713,1.008083701133728,1.1563438177108765,0.6541767120361328,1.0,3.37945556640625,0.9635576009750366,0.46126121282577515,0.2281927615404129,0.2960866689682007,0.2019525170326233,0.5969027280807495,100.61854553222656,0.46126121282577515,0.049455247819423676,0.08158715069293976,1.0061852931976318,1.000002384185791,1.139652132987976,0.6791621446609497,1.0,1.5152078866958618,1.0061854124069214
"[1, 4, 8, 16, 32, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.4219023585319519,0.20923322439193726,0.478335440158844,0.188178151845932,0.5613383054733276,16034834.0,0.4219023585319519,0.09230123460292816,0.6055868864059448,1.0837368965148926,1.0,1.2340857982635498,0.6495401263237,1.0,4.4138641357421875,1.0533063411712646,0.5032083988189697,0.2458001673221588,0.20166870951652527,0.21567711234092712,0.5969012975692749,100.87773132324219,0.5032083988189697,0.047223467379808426,0.17771843075752258,1.0087772607803345,1.0,1.2154814004898071,0.70937180519104,1.0,1.7313835620880127,1.008777379989624
"[1, 32, 16, 8, 4, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.4314643144607544,0.2151516079902649,0.6852601170539856,0.19407442212104797,0.5683779120445251,9921091.0,0.4314643144607544,0.1131276860833168,0.6309179067611694,0.9892948865890503,1.0125406980514526,1.1362990140914917,0.6568594574928284,1.0,3.1131479740142822,0.9466369152069092,0.4521375894546509,0.22427798807621002,0.3276582360267639,0.19902563095092773,0.5969113707542419,100.55172729492188,0.4521375894546509,0.051422763615846634,0.05486424267292023,1.0055172443389893,1.0000169277191162,1.1196931600570679,0.6724117994308472,1.0,1.458282709121704,1.0055172443389893
"[1, 32, 16, 8, 4, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.4230072498321533,0.21024291217327118,0.5381544828414917,0.1894121766090393,0.5613383054733276,13957855.0,0.4230072498321533,0.09773875027894974,0.6079461574554443,1.0405081510543823,1.0,1.2008543014526367,0.650390088558197,0.9375,3.971667766571045,1.0066651105880737,0.48415863513946533,0.23786669969558716,0.2374519407749176,0.20940276980400085,0.5969012975692749,100.76858520507812,0.48415863513946533,0.04720590263605118,0.13812008500099182,1.007685899734497,1.0,1.1835784912109375,0.6958150863647461,1.0,1.6404359340667725,1.0076857805252075
"[1, 1]",ListWrapper(['linear']),MeanSquaredError,False,SGD,0.2,50,0.01,True,0.4264715313911438,0.2124330848455429,0.6176674365997314,0.19156038761138916,0.5623486042022705,9982409.0,0.4264715313911438,0.10575465857982635,0.6174036264419556,1.0195342302322388,1.0017998218536377,1.1602678298950195,0.6530478596687317,1.0,3.771965503692627,0.9769988059997559,0.4685155153274536,0.23159322142601013,0.313522070646286,0.20499791204929352,0.6040394306182861,101.84538269042969,0.4685155153274536,0.05235627293586731,0.10191972553730011,1.01845383644104,1.0119585990905762,1.1460012197494507,0.6844819188117981,1.0,1.5111130475997925,1.01845383644104
"[1, 9, 3, 30, 47, 1]","ListWrapper(['sigmoid', 'linear', 'sigmoid', 'linear', 'linear'])",MeanSquaredError,False,SGD,0.2,50,0.01,True,0.42205101251602173,0.2094867080450058,0.49931836128234863,0.18853816390037537,0.5613381862640381,15273108.0,0.42205101251602173,0.09411190450191498,0.6058859825134277,1.067887544631958,0.9999997615814209,1.221900463104248,0.6496545076370239,1.0,4.251750469207764,1.035933494567871,0.4961252510547638,0.24286004900932312,0.21399584412574768,0.21333792805671692,0.5969019532203674,100.8386001586914,0.4961252510547638,0.047065671533346176,0.16359803080558777,1.0083860158920288,1.000001072883606,1.2040112018585205,0.704361617565155,1.0,1.6986827850341797,1.0083860158920288
"[1, 10, 10, 10, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.42186984419822693,0.20931512117385864,0.4886308014392853,0.18831804394721985,0.5611166954040527,15446680.0,0.42186984419822693,0.09315834939479828,0.6055276393890381,1.0776574611663818,0.9996052384376526,1.2275763750076294,0.6495150923728943,1.0,4.370138645172119,1.0460506677627563,0.5010854005813599,0.24494865536689758,0.2083013504743576,0.2150399386882782,0.5978353023529053,101.02198791503906,0.5010854005813599,0.047429658472537994,0.17355892062187195,1.0102198123931885,1.0015647411346436,1.2115471363067627,0.7078738808631897,1.0,1.7172633409500122,1.010219931602478
"[1, 10, 10, 10, 1]","ListWrapper(['sigmoid', 'sigmoid', 'sigmoid', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.42190951108932495,0.20927780866622925,0.48286378383636475,0.18824812769889832,0.5613380670547485,15867077.0,0.42190951108932495,0.09268170595169067,0.6056008338928223,1.080252766609192,0.999999463558197,1.231405258178711,0.6495456099510193,1.0,4.378246307373047,1.049486756324768,0.49972185492515564,0.24435429275035858,0.20761126279830933,0.21452492475509644,0.5969023704528809,100.85877990722656,0.49972185492515564,0.047125913202762604,0.17084866762161255,1.0085878372192383,1.0000017881393433,1.209888219833374,0.7069100737571716,1.0,1.7154357433319092,1.0085877180099487
"[1, 4, 8, 16, 32, 1]","ListWrapper(['linear', 'linear', 'linear', 'linear', 'linear'])",MeanSquaredError,False,Adam,0.2,50,0.01,True,0.42190492153167725,0.2092958688735962,0.48502156138420105,0.18827828764915466,0.561298131942749,15749997.0,0.42190492153167725,0.09286193549633026,0.6055920124053955,1.0789259672164917,0.99992835521698,1.2300546169281006,0.6495420932769775,1.0,4.368000030517578,1.0479257106781006,0.5025317668914795,0.24552501738071442,0.20336699485778809,0.21546533703804016,0.5970781445503235,100.903564453125,0.5025317668914795,0.04725102707743645,0.17639708518981934,1.0090357065200806,1.0002962350845337,1.2143055200576782,0.7088947296142578,1.0,1.7274816036224365,1.0090357065200806
